Category	Name	Returns	Relationship	Given	Docs Link	Description	SPARQL	Example
agent	objectProducedByAgent	HumanMadeObject	producedBy	Agent	/model/object/production/#base-production-activity	Return the objects that were produced, in whole or in part, by the person or group.	SELECT DISTINCT ?object WHERE {   BIND(<%current%> as ?who)   ?object a crm:E22_Human-Made_Object ; crm:P108i_was_produced_by ?prod .   ?prod crm:P9_consists_of*/crm:P14_carried_out_by ?who .  }	From the record for Rembrandt, the record for The Night Watch would be in the response
agent	objectEncounteredByAgent	HumanMadeObject	encounteredBy	Agent		Return the objects that were discovered or encountered by the person or group.	SELECT DISTINCT ?object WHERE {   BIND(<%current%> as ?who)   ?object a crm:E22_Human-Made_Object ; sci:O19i_was_object_encountered_at ?enc .   ?enc crm:P9_consists_of*/crm:P14_carried_out_by ?who .  }	From the record for O.C. Marsh, the record for the Torosaurus holotype would be in the response
agent	objectCuratedByAgent	HumanMadeObject	curatedBy	Agent	/model/object/ownership/#custody	Return the objects that are curated, looked after, or otherwise are in the custody of the person or group.	SELECT DISTINCT ?object WHERE {   BIND(<%current%> as ?who)   {     ?object a crm:E22_Human-Made_Object ; la:member_of ?coll .     ?coll crm:P16i_was_used_for ?curating .     ?curating crm:P14_carried_out_by ?who .    } UNION {     ?object crm:P50_has_current_keeper ?who .   } }	From the record for the Paintings Department of the Rijksmuseum, the record for The Night Watch would be in the response.
agent	objectOwnedByAgent	HumanMadeObject	ownedBy	Agent	/model/object/ownership/#ownership	Return the objects that are owned by the person or group.	SELECT DISTINCT ?object WHERE {   BIND(<%current%> as ?who)   ?object a crm:E22_Human-Made_Object ; crm:P52_has_current_owner ?who . }	From the record for the Rijksmuseum, the record for The Night Watch would be in the response.
agent	workCreatedByAgent	Work	createdBy	Agent	/model/document/#creation-and-publication	Return the works that were created, in whole or in part, by the person or group.	SELECT DISTINCT ?work WHERE {   BIND(<https://lux.collections.yale.edu/data/person/5bc822aa-1312-4ae5-8f24-1709f7ebda17> as ?who)     ?work crm:P94i_was_created_by ?cre .         ?cre crm:P9_consists_of*/crm:P14_carried_out_by ?who . }	
agent	workAboutAgent	Work	about	Agent	/model/object/aboutness/#subject	Return the works that are about or have a subject of the person or group.		
agent	workPublishedByAgent	Work	publishedBy	Agent	/model/document/#creation-and-publication	Return the works that are published by the person or group.		
agent	workRepresentsAgent	Work	represents	Agent	/model/object/aboutness/#depiction	Return the visual works that represent or depict the person or group.		
agent	groupFoundedByAgent	Group	foundedBy	Agent	/model/actor/#birth-and-death-formation-and-dissolution	Return the groups that were founded by the person or group.		
agent	agentMemberOfGroup	Agent	memberOf	Group	/model/actor/#organization-membership	Return the people or groups that are members of the group.		
agent	conceptInfluencedByAgent	Concept	influencedBy	Agent	/model/concept/#creation-and-influences	Return the concepts that were influenced by the person or group.		
